"73","0",,"Namutumba ","Namutumba ","7","7","0000-00-00 00:00:00","system"
"74","0",,"Nebbi","Nebbi","14","14","0000-00-00 00:00:00","system"
"75","0",,"Ntungamo","Ntungamo","13","13","0000-00-00 00:00:00","system"
"77","0",,"Oyam","Oyam","10","10","0000-00-00 00:00:00","system"
"78","0",,"Pader","Pader","10","10","0000-00-00 00:00:00","system"
"79","0",,"Pallisa","Pallisa","9","9","0000-00-00 00:00:00","system"
"80","0",,"Rakai","Rakai","5","5","0000-00-00 00:00:00","system"
"81","0",,"Rukungiri","Rukungiri","13","13","0000-00-00 00:00:00","system"
"82","0",,"Ssembabule","Ssembabule","5","5","0000-00-00 00:00:00","system"
"83","0",,"Sironko","Sironko","9","9","0000-00-00 00:00:00","system"
"84","0",,"Soroti","Soroti","12","12","0000-00-00 00:00:00","system"
"85","0",,"Tororo","Tororo","9","9","0000-00-00 00:00:00","system"
"86","0",,"Wakiso","Wakiso","5","5","0000-00-00 00:00:00","system"
"87","0",,"Yumbe","Yumbe","14","14","0000-00-00 00:00:00","system"
"88","0",,"Butambala","Butambala","5","5","0000-00-00 00:00:00","system"
"89","0",,"Gomba","Gomba","5","5","0000-00-00 00:00:00","system"
"90","0",,"Kalungu","Kalungu","5","5","0000-00-00 00:00:00","system"
"91","0",,"Kyankwanzi","Kyankwanzi","6","6","0000-00-00 00:00:00","system"
"92","0",,"Lwengo","Lwengo","5","5","0000-00-00 00:00:00","system"
"93","0",,"Bukomansimbi","Bukomansimbi","5","5","0000-00-00 00:00:00","system"
"94","0",,"Bulambuli","Bulambuli","9","9","0000-00-00 00:00:00","system"
"95","0",,"Kibuku","Kibuku","9","9","0000-00-00 00:00:00","system"
"96","0",,"Kween","Kween","9","9","0000-00-00 00:00:00","system"
"97","0",,"Luuka","Luuka","7","7","0000-00-00 00:00:00","system"
"98","0",,"Namayingo","Namayingo","7","7","0000-00-00 00:00:00","system"
"99","0",,"Ngora","Ngora","12","12","0000-00-00 00:00:00","system"
